Generator,Judge,response in a well-structured JSON format,mitigation plan can be implemented as that it is feasible,mitigation plan is efficient as that it solves the root cause,mitigation plan is scalable as that it can be applied for large-scale issues,mitigation plan is clear for the operator as that it provides detailed steps and guidance,Overall Avg
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_format,meta-llama/Llama-3.2-3B-Instruct,7.35,6.85,6.25,6.00,9.20,7.13
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_feasibility,meta-llama/Llama-3.2-3B-Instruct,7.21,7.56,8.19,7.00,9.17,7.83
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_efficiency,meta-llama/Llama-3.2-3B-Instruct,8.43,7.00,7.05,6.60,8.90,7.60
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_scalability,meta-llama/Llama-3.2-3B-Instruct,8.52,7.25,7.60,6.50,7.90,7.55
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_clarity,meta-llama/Llama-3.2-3B-Instruct,8.40,7.40,7.90,7.95,7.75,7.88
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_full_reward,ibm-granite/granite-4.0-micro,9.10,5.40,8.80,9.30,8.60,8.24
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_format,ibm-granite/granite-4.0-micro,6.80,9.00,9.10,10.00,7.60,8.50
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_feasibility,ibm-granite/granite-4.0-micro,8.80,6.60,9.20,9.20,8.20,8.40
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_efficiency,ibm-granite/granite-4.0-micro,8.25,7.00,10.00,9.10,8.70,8.61
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_scalability,ibm-granite/granite-4.0-micro,8.40,5.60,10.00,8.90,8.40,8.26
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_clarity,ibm-granite/granite-4.0-micro,7.30,7.20,8.10,8.60,7.90,7.82
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_full_reward,microsoft/bitnet-b1.58-2B-4T,7.20,6.70,6.90,8.05,7.75,7.32
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_format,microsoft/bitnet-b1.58-2B-4T,7.14,7.30,7.20,6.00,7.50,7.03
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_feasibility,microsoft/bitnet-b1.58-2B-4T,7.93,6.35,8.20,7.10,8.60,7.64
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_efficiency,microsoft/bitnet-b1.58-2B-4T,8.30,6.70,7.00,8.68,8.48,7.83
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_scalability,microsoft/bitnet-b1.58-2B-4T,6.20,7.50,7.03,6.40,6.60,6.75
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_clarity,microsoft/bitnet-b1.58-2B-4T,7.60,7.55,6.50,6.75,8.70,7.42
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_full_reward,Qwen/Qwen3-1.7B,8.70,7.50,9.60,9.40,9.70,8.98
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_format,Qwen/Qwen3-1.7B,9.20,9.60,8.80,8.50,9.70,9.16
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_feasibility,Qwen/Qwen3-1.7B,7.10,8.45,8.30,10.00,8.90,8.55
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_efficiency,Qwen/Qwen3-1.7B,9.30,6.95,8.10,10.00,8.60,8.59
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_scalability,Qwen/Qwen3-1.7B,8.30,7.60,6.80,8.70,8.70,8.02
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_clarity,Qwen/Qwen3-1.7B,9.10,8.60,9.80,8.70,9.60,9.16
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_full_reward,google/gemma-2-2b-it,7.40,6.80,7.40,6.50,7.90,7.20
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_format,google/gemma-2-2b-it,7.50,5.90,8.50,8.70,7.70,7.66
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_feasibility,google/gemma-2-2b-it,7.60,6.80,7.40,8.20,8.50,7.70
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_efficiency,google/gemma-2-2b-it,6.80,8.15,8.10,7.60,8.60,7.85
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_scalability,google/gemma-2-2b-it,7.90,8.40,7.50,7.60,8.00,7.88
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_clarity,google/gemma-2-2b-it,7.30,7.10,6.90,8.20,7.70,7.44
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_clarity,meta-llama/Llama-3.2-3B-Instruct,8.15,7.75,7.35,7.70,9.25,8.04
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_completeness,meta-llama/Llama-3.2-3B-Instruct,8.70,7.20,8.15,7.15,8.95,8.03
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_effectiveness,meta-llama/Llama-3.2-3B-Instruct,7.85,7.30,7.80,8.05,8.00,7.80
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_feasibility,meta-llama/Llama-3.2-3B-Instruct,7.87,6.98,7.33,6.68,8.80,7.53
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_safety,meta-llama/Llama-3.2-3B-Instruct,8.40,7.55,7.80,7.70,8.48,7.99
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_clarity,ibm-granite/granite-4.0-micro,8.50,6.00,8.80,8.70,8.40,8.08
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_completeness,ibm-granite/granite-4.0-micro,8.30,8.30,9.50,9.50,8.20,8.76
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_effectiveness,ibm-granite/granite-4.0-micro,9.10,7.90,9.30,9.40,8.30,8.80
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_feasibility,ibm-granite/granite-4.0-micro,9.30,8.00,8.80,9.10,9.10,8.86
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_safety,ibm-granite/granite-4.0-micro,9.20,8.00,9.30,9.20,7.50,8.64
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_clarity,microsoft/bitnet-b1.58-2B-4T,7.08,7.45,7.32,8.75,8.45,7.81
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_completeness,microsoft/bitnet-b1.58-2B-4T,7.20,6.65,8.15,7.70,9.10,7.76
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_effectiveness,microsoft/bitnet-b1.58-2B-4T,7.48,7.60,6.55,7.53,7.10,7.25
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_feasibility,microsoft/bitnet-b1.58-2B-4T,8.28,8.50,7.40,7.20,8.70,8.02
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_safety,microsoft/bitnet-b1.58-2B-4T,8.40,6.70,7.25,8.40,9.00,7.95
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_clarity,Qwen/Qwen3-1.7B,9.40,7.40,9.40,8.70,9.70,8.92
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_completeness,Qwen/Qwen3-1.7B,8.50,8.20,8.80,9.80,9.70,9.00
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_effectiveness,Qwen/Qwen3-1.7B,8.60,8.55,8.40,8.50,7.90,8.39
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_feasibility,Qwen/Qwen3-1.7B,6.60,8.75,7.65,9.50,9.60,8.42
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_safety,Qwen/Qwen3-1.7B,8.85,7.70,8.80,9.40,9.80,8.91
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_clarity,google/gemma-2-2b-it,6.80,8.50,8.50,8.00,8.60,8.08
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_completeness,google/gemma-2-2b-it,7.30,6.10,8.30,7.60,8.60,7.58
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_effectiveness,google/gemma-2-2b-it,7.30,7.50,8.40,8.00,8.60,7.96
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_feasibility,google/gemma-2-2b-it,6.90,7.50,7.40,8.50,7.70,7.60
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_safety,google/gemma-2-2b-it,8.50,8.50,8.20,7.60,8.50,8.26
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_scalability,meta-llama/Llama-3.2-3B-Instruct,7.25,7.60,7.15,7.90,8.85,7.75
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_efficiency,meta-llama/Llama-3.2-3B-Instruct,8.03,6.84,8.28,7.45,7.78,7.68
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_compliance,meta-llama/Llama-3.2-3B-Instruct,8.38,6.85,8.95,7.25,8.25,7.94
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_scalability,ibm-granite/granite-4.0-micro,8.60,7.70,7.40,7.70,8.60,8.00
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_efficiency,ibm-granite/granite-4.0-micro,8.70,7.60,9.00,9.40,7.20,8.38
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_compliance,ibm-granite/granite-4.0-micro,7.50,8.00,7.90,8.10,7.10,7.72
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_scalability,microsoft/bitnet-b1.58-2B-4T,5.64,6.35,8.25,7.65,7.78,7.13
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_efficiency,microsoft/bitnet-b1.58-2B-4T,8.28,5.73,6.80,7.45,9.40,7.53
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_compliance,microsoft/bitnet-b1.58-2B-4T,7.60,6.63,6.65,6.40,6.28,6.71
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_scalability,Qwen/Qwen3-1.7B,8.05,7.05,7.90,9.00,8.90,8.18
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_efficiency,Qwen/Qwen3-1.7B,7.40,7.70,8.60,9.00,9.80,8.50
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_compliance,Qwen/Qwen3-1.7B,7.45,9.60,9.70,9.25,9.60,9.12
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_scalability,google/gemma-2-2b-it,8.40,6.00,7.00,8.50,8.30,7.64
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_efficiency,google/gemma-2-2b-it,7.30,7.30,6.90,7.80,7.90,7.44
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_compliance,google/gemma-2-2b-it,7.40,7.10,7.70,7.90,8.20,7.66
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness,meta-llama/Llama-3.2-3B-Instruct,8.58,7.28,7.33,6.54,8.05,7.56
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity,meta-llama/Llama-3.2-3B-Instruct,7.45,7.43,7.58,8.45,7.85,7.75
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility,meta-llama/Llama-3.2-3B-Instruct,8.15,7.00,8.10,8.05,8.74,8.01
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety,meta-llama/Llama-3.2-3B-Instruct,8.66,7.47,7.65,6.50,8.25,7.71
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability,meta-llama/Llama-3.2-3B-Instruct,8.57,8.10,8.55,7.30,8.25,8.15
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency,meta-llama/Llama-3.2-3B-Instruct,8.50,7.80,8.55,7.70,7.79,8.07
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness,meta-llama/Llama-3.2-3B-Instruct,7.95,8.10,8.45,7.20,8.44,8.03
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness_compliance,meta-llama/Llama-3.2-3B-Instruct,7.42,7.40,6.85,7.80,8.15,7.52
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness,ibm-granite/granite-4.0-micro,7.70,7.00,10.00,7.90,9.50,8.42
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity,ibm-granite/granite-4.0-micro,8.10,7.80,9.50,8.00,6.40,7.96
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility,ibm-granite/granite-4.0-micro,8.50,6.20,8.60,9.50,7.90,8.14
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety,ibm-granite/granite-4.0-micro,9.30,8.30,10.00,8.10,8.80,8.90
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability,ibm-granite/granite-4.0-micro,8.90,7.90,9.50,9.70,9.20,9.04
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency,ibm-granite/granite-4.0-micro,7.30,7.80,9.80,9.10,7.80,8.36
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness,ibm-granite/granite-4.0-micro,7.80,8.30,7.90,9.20,8.90,8.42
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness_compliance,ibm-granite/granite-4.0-micro,7.00,7.50,9.90,8.50,8.10,8.20
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness,microsoft/bitnet-b1.58-2B-4T,8.25,7.55,8.15,7.00,6.90,7.57
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity,microsoft/bitnet-b1.58-2B-4T,6.68,8.00,7.55,7.40,6.20,7.17
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility,microsoft/bitnet-b1.58-2B-4T,7.20,7.13,7.25,7.78,7.60,7.39
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety,microsoft/bitnet-b1.58-2B-4T,7.78,6.00,6.35,9.58,6.90,7.32
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability,microsoft/bitnet-b1.58-2B-4T,8.99,7.00,6.80,7.00,7.00,7.36
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency,microsoft/bitnet-b1.58-2B-4T,8.53,6.25,7.90,7.28,8.50,7.69
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness,microsoft/bitnet-b1.58-2B-4T,5.50,7.35,7.96,7.48,7.60,7.18
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness_compliance,microsoft/bitnet-b1.58-2B-4T,7.60,7.55,8.75,8.39,8.65,8.19
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness,Qwen/Qwen3-1.7B,7.70,8.60,9.80,9.85,8.00,8.79
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity,Qwen/Qwen3-1.7B,8.10,9.10,9.60,9.50,9.90,9.24
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility,Qwen/Qwen3-1.7B,7.00,8.20,9.15,8.90,9.65,8.58
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety,Qwen/Qwen3-1.7B,7.00,8.60,9.80,8.80,8.60,8.56
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability,Qwen/Qwen3-1.7B,8.20,9.50,9.40,8.90,9.20,9.04
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency,Qwen/Qwen3-1.7B,8.20,9.25,7.50,8.90,9.70,8.71
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness,Qwen/Qwen3-1.7B,6.80,9.30,9.80,9.90,9.20,9.00
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness_compliance,Qwen/Qwen3-1.7B,8.10,9.60,8.80,9.00,7.80,8.66
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness,google/gemma-2-2b-it,8.30,8.50,6.60,6.50,8.30,7.64
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity,google/gemma-2-2b-it,7.00,6.40,7.30,8.40,8.30,7.48
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility,google/gemma-2-2b-it,7.80,8.00,7.40,8.00,8.10,7.86
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety,google/gemma-2-2b-it,7.50,5.90,7.70,7.70,8.20,7.40
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability,google/gemma-2-2b-it,7.70,8.20,7.50,7.70,7.70,7.76
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency,google/gemma-2-2b-it,7.30,8.00,7.30,8.90,7.50,7.80
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness,google/gemma-2-2b-it,7.10,8.10,8.00,8.10,8.20,7.90
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness_compliance,google/gemma-2-2b-it,7.90,8.10,7.30,7.60,8.60,7.90
